image_name,inference_values
010279.jpg,"(671.9149169921875,751.0057373046875,857.65380859375,996.0472412109375 , 0.836073637008667) | (476.0549621582031,376.51068115234375,564.1513671875,609.043701171875 , 0.8304513096809387) | (968.9000244140625,567.0328369140625,1040.4415283203125,809.221435546875 , 0.8230165839195251) | (796.2167358398438,436.6734619140625,884.9823608398438,698.9117431640625 , 0.8204447627067566) | (874.4241333007812,208.5477294921875,952.9176635742188,441.1693115234375 , 0.7041887044906616) | (902.6591796875,592.046875,985.55078125,810.010498046875 , 0.6237568855285645)"
010292.jpg,"(377.28277587890625,653.561767578125,498.11346435546875,912.8895263671875 , 0.8655430674552917) | (618.8880004882812,702.5665283203125,755.7022094726562,938.2867431640625 , 0.8315837979316711) | (1093.9525146484375,51.068328857421875,1160.3033447265625,276.017333984375 , 0.8132032752037048) | (311.3233947753906,649.6217041015625,390.6513366699219,907.207763671875 , 0.7457990646362305) | (547.8671875,323.9879150390625,623.5107421875,554.604736328125 , 0.7067233920097351) | (1161.347900390625,30.08306884765625,1243.629150390625,286.5687561035156 , 0.6085278391838074) | (0.16162109375,337.82794189453125,56.43890380859375,558.5362548828125 , 0.5222482085227966) | (1096.509521484375,2.8394699096679688,1164.852294921875,96.2673110961914 , 0.37401658296585083)"
010322.jpg,"(212.48956298828125,836.2913818359375,337.43927001953125,1023.0162353515625 , 0.7477132678031921) | (408.4246826171875,795.4185791015625,576.7135009765625,1005.3585205078125 , 0.660585880279541) | (867.941162109375,404.7198791503906,977.2822265625,642.9107666015625 , 0.646501898765564) | (1106.9315185546875,398.5472412109375,1212.7269287109375,581.88330078125 , 0.5052754282951355) | (653.043701171875,630.86328125,886.2196044921875,846.376953125 , 0.25714612007141113)"
010392.jpg,"(11.923477172851562,380.861083984375,130.27557373046875,613.7054443359375 , 0.8198930621147156) | (1032.694580078125,28.595123291015625,1125.720458984375,218.739501953125 , 0.7026968598365784) | (473.08551025390625,349.4913330078125,563.8286743164062,568.2874755859375 , 0.6192573308944702)"
010407.jpg,"(346.17681884765625,382.97833251953125,459.76031494140625,630.6444702148438 , 0.8420518636703491) | (486.6790771484375,344.27593994140625,593.11865234375,582.6470336914062 , 0.8240916132926941) | (907.757080078125,465.9192810058594,1020.9599609375,668.7867431640625 , 0.8154768943786621) | (1165.62841796875,0.2982330322265625,1252.38330078125,225.98497009277344 , 0.7788561582565308) | (990.4686889648438,34.752716064453125,1068.3125,249.25396728515625 , 0.7294896841049194)"
010419.jpg,"(908.6669921875,521.02197265625,990.7135009765625,791.924072265625 , 0.7682260870933533) | (559.4287109375,364.10614013671875,634.382568359375,592.3743896484375 , 0.488966703414917) | (559.2518920898438,320.7021484375,661.4402465820312,592.8523559570312 , 0.31699705123901367) | (591.9017333984375,319.2379150390625,663.8455810546875,579.09375 , 0.30791887640953064)"
010422.jpg,"(678.506591796875,457.0475158691406,797.05078125,667.3411865234375 , 0.7799834609031677) | (1127.991943359375,418.029296875,1219.0146484375,664.4720458984375 , 0.44231748580932617)"
010460.jpg,"(165.92401123046875,261.0879821777344,247.98040771484375,493.8003234863281 , 0.8102074265480042) | (67.16510009765625,230.96615600585938,136.98687744140625,468.2204895019531 , 0.7802351117134094) | (616.3150634765625,477.39349365234375,725.6317138671875,660.9489135742188 , 0.7406501173973083)"
010467.jpg,"(786.83154296875,533.9822387695312,870.702880859375,810.5145874023438 , 0.8277878165245056) | (1070.789794921875,549.354248046875,1210.914794921875,773.849853515625 , 0.807259202003479) | (1130.69677734375,16.509185791015625,1225.59521484375,239.6065673828125 , 0.7846483588218689) | (972.6988525390625,135.52523803710938,1054.5091552734375,348.1007995605469 , 0.7150156497955322) | (594.78173828125,581.28515625,716.977783203125,784.291259765625 , 0.6897658705711365) | (944.0489501953125,495.6793212890625,1018.1727294921875,727.2550048828125 , 0.5874732136726379)"
010485.jpg,"(751.9912719726562,408.8335266113281,825.1670532226562,625.761962890625 , 0.8164215087890625) | (779.1206665039062,376.67938232421875,841.6267700195312,584.2623291015625 , 0.6069741249084473)"
010571.jpg,"(1.9794921875,918.3361206054688,153.79891967773438,1023.2903442382812 , 0.8541236519813538) | (928.7479248046875,471.8774719238281,1024.2542724609375,724.74609375 , 0.8065230846405029) | (390.54376220703125,518.849609375,519.246337890625,788.84814453125 , 0.7504620552062988) | (844.8539428710938,407.7054443359375,965.5031127929688,533.0087890625 , 0.6417912244796753) | (314.8484191894531,571.7650756835938,408.5387268066406,807.2860717773438 , 0.5599919557571411)"
020006.jpg,"(29.22549819946289,518.908203125,116.67822265625,761.70751953125 , 0.7176840305328369)"
020008.jpg,"(1081.858642578125,460.4596862792969,1203.5947265625,618.14990234375 , 0.3617890775203705) | (640.4866943359375,285.7698974609375,741.1556396484375,500.3265380859375 , 0.34046995639801025)"
020025.jpg,"(370.367431640625,329.7537841796875,448.11492919921875,570.2691650390625 , 0.8107207417488098) | (447.67486572265625,354.31378173828125,512.4876708984375,611.9725952148438 , 0.7130117416381836)"
020073.jpg,"(407.0333251953125,441.5290222167969,539.020263671875,692.774169921875 , 0.9125018119812012)"
020078.jpg,"(159.31326293945312,327.9249267578125,246.29928588867188,589.225830078125 , 0.2619168758392334)"
020088.jpg,"(872.0849609375,113.11248779296875,968.835205078125,363.663818359375 , 0.7577689290046692)"
020091.jpg,"(169.19586181640625,643.8822021484375,242.91119384765625,921.9903564453125 , 0.8382468819618225) | (259.7277526855469,628.716552734375,350.7813415527344,896.394775390625 , 0.8172652125358582) | (528.6360473632812,607.17529296875,599.7294311523438,883.186767578125 , 0.5985897779464722)"
020117.jpg,"(671.5704956054688,282.24383544921875,739.5512084960938,457.99945068359375 , 0.5889976620674133)"
020132.jpg,"(512.0771484375,238.8988037109375,634.6044921875,466.87225341796875 , 0.7873989939689636) | (822.8009033203125,171.79312133789062,911.0074462890625,387.1737365722656 , 0.3256777226924896)"
020169.jpg,"(1085.0166015625,283.59393310546875,1205.42578125,576.1181030273438 , 0.3562565743923187)"
020227.jpg,"(703.7816162109375,354.598876953125,829.4625244140625,598.51123046875 , 0.5832427740097046) | (617.207275390625,525.5257568359375,732.715087890625,818.3846435546875 , 0.5180754065513611)"
020230.jpg,"(472.83770751953125,597.16162109375,593.0559692382812,908.212158203125 , 0.2834644913673401)"
020236.jpg,"(89.32759094238281,478.0272521972656,189.61619567871094,752.6514892578125 , 0.8180880546569824) | (229.57418823242188,493.2337646484375,307.5363464355469,737.5728759765625 , 0.7210502028465271) | (863.68017578125,21.607513427734375,966.807373046875,223.18063354492188 , 0.4865797758102417) | (516.6072998046875,367.42041015625,631.9466552734375,575.5679931640625 , 0.3260703384876251)"
020250.jpg,"(294.18609619140625,205.3450927734375,419.71917724609375,392.74798583984375 , 0.5949115753173828)"
020272.jpg,"(455.82275390625,627.0394287109375,563.48388671875,899.0072021484375 , 0.6165252923965454) | (529.726806640625,552.6656494140625,609.4783935546875,820.7486572265625 , 0.38416245579719543) | (529.3717041015625,553.3484497070312,606.3475341796875,710.6580200195312 , 0.33698081970214844)"
020288.jpg,"(599.3622436523438,627.5447998046875,694.7634887695312,889.4866943359375 , 0.6357048153877258) | (876.994384765625,404.7280578613281,947.7578125,637.55615234375 , 0.5744226574897766) | (545.9647216796875,669.3931884765625,606.0452880859375,849.4234619140625 , 0.49027687311172485) | (36.379520416259766,134.92210388183594,102.36770629882812,192.4524688720703 , 0.26873859763145447)"
020305.jpg,"(1176.4306640625,371.14208984375,1265.314208984375,581.299560546875 , 0.35123327374458313) | (1055.148681640625,392.623291015625,1141.019287109375,583.3646240234375 , 0.2935226261615753)"
020322.jpg,"(64.03704833984375,836.7401123046875,166.25286865234375,1023.5496826171875 , 0.8141012191772461) | (876.4298095703125,420.5583801269531,981.2432861328125,688.4599609375 , 0.7421368360519409) | (124.89363861083984,801.770751953125,214.92672729492188,1022.676513671875 , 0.38001391291618347)"
020326.jpg,"(307.3149719238281,605.783203125,456.6747741699219,831.0770263671875 , 0.7778944373130798)"
020332.jpg,"(390.14898681640625,676.93603515625,468.30938720703125,832.405517578125 , 0.7673557996749878) | (477.52398681640625,618.6156005859375,591.5468139648438,877.3685302734375 , 0.5816477537155151)"
020334.jpg,"(67.02108764648438,500.39141845703125,175.96363830566406,746.4491577148438 , 0.9121066331863403)"
020348.jpg,"(666.1150512695312,348.161376953125,772.6012573242188,582.76904296875 , 0.30268123745918274)"
020352.jpg,"(825.3370361328125,714.1640625,923.2467041015625,925.37548828125 , 0.3556019067764282)"
020364.jpg,"(417.46234130859375,75.06169891357422,537.3778686523438,276.741455078125 , 0.7786082029342651)"
020432.jpg,"(96.18505859375,400.02899169921875,215.24844360351562,661.0599975585938 , 0.8786143064498901) | (928.8291015625,423.2921447753906,1031.9376220703125,721.3543701171875 , 0.3703599274158478)"
020460.jpg,"(367.89599609375,466.7807922363281,532.4716796875,899.685546875 , 0.5899102687835693)"
020475.jpg,"(678.1873779296875,28.244476318359375,781.0430908203125,193.07933044433594 , 0.3371564447879791)"
020476.jpg,"(763.939453125,241.49424743652344,843.2315673828125,481.2410888671875 , 0.4269639253616333)"
020489.jpg,"(312.2957763671875,593.4215087890625,396.48809814453125,853.5831298828125 , 0.8253818154335022) | (482.9031982421875,617.3426513671875,582.61572265625,871.8687744140625 , 0.4633369445800781)"
020496.jpg,"(489.1546325683594,364.19891357421875,592.9981689453125,541.5049438476562 , 0.6282232999801636)"
030013.jpg,"(163.60440063476562,753.1114501953125,246.24911499023438,935.3173828125 , 0.287639319896698) | (194.74609375,843.1690063476562,386.26165771484375,1023.3873901367188 , 0.2711198329925537)"
030034.jpg,"(303.9520263671875,21.19000244140625,388.998291015625,223.65908813476562 , 0.8658697605133057) | (399.0435791015625,221.51434326171875,508.0408935546875,439.88397216796875 , 0.6719074845314026)"
030035.jpg,"(152.052490234375,338.3367919921875,286.1978759765625,518.4638671875 , 0.4391525089740753)"
030039.jpg,"(17.845458984375,16.171112060546875,127.2772216796875,248.58099365234375 , 0.8615344762802124) | (147.90362548828125,159.17315673828125,263.3790283203125,362.7520751953125 , 0.7884379029273987)"
030043.jpg,"(609.0855712890625,432.673828125,739.2706298828125,681.16943359375 , 0.8252941370010376) | (669.8054809570312,342.41448974609375,759.7374877929688,636.3319702148438 , 0.7384110689163208) | (0.0937957763671875,130.14041137695312,100.96781921386719,328.6847229003906 , 0.716449499130249)"
030089.jpg,"(879.7740478515625,450.30548095703125,970.4178466796875,720.3930053710938 , 0.8507727980613708)"
030120.jpg,"(67.22991180419922,751.735595703125,206.40594482421875,996.1011962890625 , 0.48362985253334045) | (67.4749526977539,752.1655883789062,203.65457153320312,889.3408813476562 , 0.29839232563972473)"
030125.jpg,"(304.29351806640625,194.281982421875,414.3223876953125,439.6141357421875 , 0.8751420974731445)"
030151.jpg,"(519.1531372070312,852.9522705078125,666.9553833007812,1023.3072509765625 , 0.8704209327697754) | (146.14706420898438,468.20855712890625,267.703125,730.4209594726562 , 0.7540169954299927)"
030220.jpg,"(155.50787353515625,51.51890563964844,262.5477294921875,236.24098205566406 , 0.6907340884208679) | (28.214828491210938,183.71499633789062,112.84344482421875,343.8092956542969 , 0.39223068952560425) | (50.44269943237305,188.32505798339844,114.03486633300781,340.9283447265625 , 0.2547832131385803)"
030235.jpg,"(487.5608825683594,234.54745483398438,598.9593505859375,481.3658142089844 , 0.8819776773452759)"
030239.jpg,"(1006.5947875976562,229.27569580078125,1100.06201171875,439.87945556640625 , 0.33274731040000916) | (1060.591796875,242.6702880859375,1159.415771484375,447.63616943359375 , 0.28005245327949524)"
030240.jpg,"(385.81439208984375,23.14349365234375,477.6541748046875,139.97694396972656 , 0.4823906719684601) | (446.08013916015625,71.60708618164062,537.8247680664062,275.716064453125 , 0.4406985640525818) | (351.28289794921875,0.191802978515625,465.52313232421875,69.33946228027344 , 0.2892327606678009) | (1047.88818359375,210.6227264404297,1187.6376953125,481.05157470703125 , 0.28640228509902954)"
030241.jpg,"(1.252349853515625,293.22552490234375,179.55368041992188,515.48583984375 , 0.767230212688446) | (0.0,453.18975830078125,144.29342651367188,710.0125122070312 , 0.46264341473579407) | (0.13816070556640625,456.4674072265625,84.45768737792969,713.9454345703125 , 0.2988406717777252)"
030245.jpg,"(353.95947265625,336.09814453125,462.68157958984375,539.9144287109375 , 0.6268489956855774) | (258.0378723144531,355.0162353515625,346.9325256347656,539.70361328125 , 0.5644621253013611) | (1026.22265625,81.15811157226562,1062.68896484375,149.02117919921875 , 0.30542847514152527)"
030278.jpg,"(125.16585540771484,269.0784912109375,253.35427856445312,506.992431640625 , 0.7152390480041504) | (853.13720703125,812.9151000976562,1028.4071044921875,1023.3478393554688 , 0.41332459449768066)"
030339.jpg,"(212.42800903320312,79.32589721679688,323.2491760253906,303.9270935058594 , 0.8117243647575378) | (114.32621002197266,300.3153991699219,227.97354125976562,503.6327819824219 , 0.4870210289955139)"
030342.jpg,"(0.131927490234375,358.43804931640625,73.94975280761719,599.9473266601562 , 0.7464659214019775) | (1013.9656982421875,524.4111328125,1198.6514892578125,743.329833984375 , 0.46060651540756226) | (445.52911376953125,0.23207855224609375,592.0488891601562,88.6788330078125 , 0.372140496969223) | (629.0267333984375,1.06585693359375,724.6365966796875,199.05316162109375 , 0.36420339345932007) | (0.5662078857421875,360.9449157714844,73.2828369140625,499.7717590332031 , 0.2685627341270447)"
030364.jpg,"(266.20867919921875,27.569061279296875,377.70526123046875,216.983642578125 , 0.8640385270118713) | (171.77743530273438,304.824462890625,269.7833557128906,524.13720703125 , 0.8252371549606323)"
030366.jpg,"(886.5314331054688,117.85482788085938,987.7797241210938,300.9408874511719 , 0.5567442774772644) | (841.0242919921875,99.81881713867188,911.9007568359375,296.3303527832031 , 0.48937147855758667)"
030368.jpg,"(33.326904296875,61.07689666748047,113.91281127929688,250.4510498046875 , 0.7391695976257324) | (121.08294677734375,137.00897216796875,228.34622192382812,345.0784912109375 , 0.5999712944030762) | (496.7080993652344,1.4355316162109375,586.6295166015625,191.8687744140625 , 0.5571471452713013)"
030369.jpg,"(537.6845703125,0.3460845947265625,642.7779541015625,184.6842041015625 , 0.7763566374778748) | (220.8661651611328,69.99441528320312,336.62213134765625,274.39532470703125 , 0.5691059231758118) | (170.23681640625,198.4862060546875,287.74676513671875,420.781494140625 , 0.5511058568954468) | (479.1677551269531,0.12929534912109375,568.793212890625,126.07604217529297 , 0.48933401703834534)"
030372.jpg,"(147.95199584960938,278.72760009765625,239.83432006835938,514.9215698242188 , 0.8324256539344788) | (1016.6048583984375,0.34587860107421875,1277.8406982421875,76.07002258300781 , 0.39890056848526) | (483.8292236328125,0.30572509765625,594.623779296875,123.35480499267578 , 0.32210415601730347)"
030391.jpg,"(115.45882415771484,580.8619384765625,245.35617065429688,795.106201171875 , 0.7119085192680359)"
030394.jpg,"(91.93780517578125,407.43536376953125,185.93124389648438,639.7925415039062 , 0.8373017311096191) | (27.4521484375,309.8321533203125,104.24812316894531,551.563720703125 , 0.8110672831535339) | (149.52676391601562,589.1895751953125,277.0996398925781,825.0787353515625 , 0.504503607749939)"
030398.jpg,"(209.28895568847656,817.9315185546875,393.6807861328125,1023.3685302734375 , 0.8911747336387634) | (0.19356918334960938,70.86135864257812,44.12904739379883,274.8404235839844 , 0.5455042123794556)"
030442.jpg,"(278.34600830078125,703.891845703125,415.50445556640625,955.596435546875 , 0.8455380797386169) | (189.82461547851562,90.89276123046875,274.581298828125,265.79180908203125 , 0.8330303430557251)"
030444.jpg,"(789.8572998046875,741.267822265625,928.4554443359375,927.066650390625 , 0.7945375442504883)"
030453.jpg,"(414.2989501953125,47.448219299316406,524.2926635742188,246.27346801757812 , 0.7712365984916687) | (618.4249267578125,558.3034057617188,732.3448486328125,748.9523315429688 , 0.7282873392105103) | (229.58038330078125,70.8037109375,342.6236572265625,258.50201416015625 , 0.7282596826553345) | (693.9666748046875,556.2850341796875,823.3740234375,685.5203857421875 , 0.4397388994693756)"
030456.jpg,"(894.039306640625,219.3623046875,1002.6590576171875,434.997802734375 , 0.8685404658317566) | (287.21392822265625,29.836090087890625,397.99090576171875,272.70904541015625 , 0.8641960620880127) | (1006.208740234375,376.9091796875,1125.065185546875,584.1851806640625 , 0.663639485836029)"
040028.jpg,"(202.33941650390625,676.4617919921875,312.53533935546875,880.1719970703125 , 0.853646457195282)"
040042.jpg,"(456.86102294921875,891.6356201171875,564.5778198242188,1023.4693603515625 , 0.8726449012756348) | (782.8418579101562,336.9801025390625,852.1981811523438,564.0481567382812 , 0.8639761805534363) | (630.6548461914062,100.89840698242188,705.5228881835938,281.2441711425781 , 0.7225318551063538)"
040083.jpg,"(263.22833251953125,502.3963928222656,348.34991455078125,753.0609130859375 , 0.8342382907867432) | (590.5795288085938,532.6510009765625,691.2244262695312,736.7296142578125 , 0.813969075679779) | (190.112060546875,498.8410949707031,264.0906066894531,741.88037109375 , 0.6985061168670654) | (80.1973876953125,518.1679077148438,191.86782836914062,741.6172485351562 , 0.6694893836975098) | (722.497802734375,46.31324005126953,805.16796875,239.02197265625 , 0.4333093762397766)"
040084.jpg,"(879.28857421875,341.791748046875,973.6058349609375,519.0419311523438 , 0.37363696098327637)"
040096.jpg,"(0.0,795.189453125,113.37102508544922,1021.9150390625 , 0.8772034645080566) | (518.4827880859375,595.1738891601562,662.37939453125,705.3749389648438 , 0.26599588990211487)"
040097.jpg,"(152.06271362304688,830.0118408203125,273.4628601074219,988.3656005859375 , 0.709273636341095)"
040108.jpg,"(174.72195434570312,774.08740234375,286.7127990722656,974.9239501953125 , 0.8280565142631531) | (263.20458984375,687.80419921875,352.94085693359375,921.4150390625 , 0.8149366974830627)"
040142.jpg,"(124.59848022460938,592.599609375,213.950439453125,897.757080078125 , 0.444862961769104) | (1.6571578979492188,498.8579406738281,74.06755828857422,708.8193359375 , 0.39868786931037903) | (124.56619262695312,593.206787109375,209.91256713867188,812.892822265625 , 0.31811627745628357)"
040156.jpg,"(80.50575256347656,932.0526123046875,152.52870178222656,1023.6143798828125 , 0.6917906999588013) | (997.993408203125,622.041259765625,1119.058837890625,885.366943359375 , 0.6308587193489075) | (612.83984375,155.11471557617188,660.2152099609375,345.7780456542969 , 0.5477232336997986) | (1081.15087890625,64.91364288330078,1165.61474609375,225.73907470703125 , 0.35516253113746643)"
040162.jpg,"(605.2438354492188,586.0919189453125,725.6471557617188,776.3665771484375 , 0.673672080039978) | (11.395004272460938,805.2940673828125,84.99790954589844,1022.6888427734375 , 0.4952217638492584) | (342.60748291015625,698.5684814453125,434.15118408203125,899.507568359375 , 0.36947694420814514)"
040173.jpg,"(329.95916748046875,633.4075927734375,438.10174560546875,873.8336181640625 , 0.8861719369888306) | (1050.533203125,203.49856567382812,1153.107421875,420.1662902832031 , 0.2629407048225403)"
040178.jpg,"(894.3709716796875,280.68359375,982.5677490234375,474.656982421875 , 0.8525899052619934) | (774.9641723632812,936.37939453125,840.2974243164062,1023.639892578125 , 0.8024986982345581) | (686.5274047851562,938.8629150390625,746.1557006835938,1023.5035400390625 , 0.7946130633354187) | (613.688232421875,585.4752197265625,729.86328125,752.4696044921875 , 0.7457677721977234)"
040219.jpg,"(651.9306030273438,285.4315185546875,729.0220336914062,494.13153076171875 , 0.6992383003234863) | (615.2491455078125,158.91708374023438,655.9454345703125,347.57183837890625 , 0.3575145900249481)"
040227.jpg,"(1167.005126953125,284.51104736328125,1279.534912109375,465.12823486328125 , 0.5522382259368896) | (1128.4522705078125,120.53292846679688,1206.9161376953125,269.0805969238281 , 0.4283204972743988) | (1129.45068359375,120.80807495117188,1204.12890625,206.06454467773438 , 0.26026827096939087)"
040288.jpg,"(738.411376953125,773.90234375,902.6103515625,962.3212890625 , 0.35102880001068115) | (612.2914428710938,149.23690795898438,667.0784301757812,339.1324768066406 , 0.33102744817733765)"
040308.jpg,"(35.86671447753906,625.61962890625,119.8546142578125,856.9232177734375 , 0.7569788694381714) | (59.55755615234375,567.41162109375,147.58859252929688,791.941162109375 , 0.6292002201080322) | (124.72286987304688,623.876708984375,216.59823608398438,863.5498046875 , 0.5279507637023926) | (753.9495239257812,59.09663391113281,802.7659301757812,233.73463439941406 , 0.49646586179733276) | (623.64404296875,106.83291625976562,683.527099609375,286.2257995605469 , 0.41569802165031433)"
040320.jpg,"(1123.2755126953125,919.1359252929688,1192.9735107421875,1023.4207153320312 , 0.8541374802589417) | (187.41708374023438,463.9189453125,267.9254455566406,680.1187744140625 , 0.8413398861885071) | (275.085205078125,453.8433837890625,352.58642578125,673.571533203125 , 0.8329964876174927) | (19.339820861816406,406.2545166015625,104.9618148803711,656.2608642578125 , 0.6713594198226929) | (905.423828125,1.0855712890625,962.7568359375,138.96621704101562 , 0.5568726658821106) | (701.4725341796875,3.692657470703125,760.1253662109375,174.24026489257812 , 0.43078750371932983)"
040328.jpg,"(753.421875,6.858062744140625,811.321533203125,203.74423217773438 , 0.25214776396751404)"
040332.jpg,"(847.0289916992188,758.7318115234375,957.3475952148438,1022.7152099609375 , 0.6621638536453247)"
040351.jpg,"(556.006103515625,584.542724609375,634.5440673828125,766.8935546875 , 0.7621716856956482)"
040359.jpg,"(671.3421630859375,197.6699676513672,750.1507568359375,394.60772705078125 , 0.7727540731430054) | (437.99078369140625,238.24534606933594,514.50048828125,438.0125732421875 , 0.5096859335899353)"
